name,element number,lattice constants a,lattice constants b,lattice constants c,atomic radii (empirical),atomic radii (clementi),ionic radii (pauling),ionic radii (shannon),covalent radii,covalent radii (sigle bond),covalent radii (double bond),Van der Waals radius,metal radii (waber),valence electron distance (schubert),core electron distance (schubert),pseudo-potential radii (zunger),first ionization energy,second ionization energy,third ionization energy,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy (Brewer),total energy,electron number,valence electron number,s,p,d,f,effective nuclear charge (slater),effective nuclear charge (clementi),periodic number,group number,electronegativity (martynov&batsanov),electronegativity (pauling),electronegativity (alfred-rochow),modulus compression,thermal conductivity,specific heat,temperature melting,temperature boiling,"atomic volume(villars,daams)","atomic weight(villars,daams)",atomic density,Orbital energy 1s,Orbital energy 2s,Orbital energy 2p,Orbital energy 3s,Orbital energy 3p,Orbital energy 3d,Orbital energy 4s,Orbital energy 4p,Orbital energy 4d,Orbital energy 4f,Orbital energy 5s,Orbital energy 5p,Orbital energy 5d,Orbital energy 5f,Orbital energy 6s,Orbital energy 6p,Orbital energy 6d,Orbital energy 6f,Orbital energy 7s,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals
Sn,50,5.8318,5.8318,3.1819,1.45,1.45,0.65,0.69,1.39,1.4,1.3,2.42,1.623,2.3,1.41,1.88,7.369,14.685,30.607,1.11207,3.142,3.08,0.073,3.14,4.009,50,4,2,2,0,0,5.65,9.1,5,4,1.88,1.96,1.72,1.11,66.6,0.217,505,2543,2.705,118.71,7310,1026.762662,151.5240637,141.8211611,0.297169143,25.11792506,17.65728448,4.546337182,0.403998194,1.004952482,0,0.369349177,0.144450077,0,0,0,0,0,0,0,0.144,0.297
Sb,51,4.307,4.307,11.273,1.45,1.33,0.57,0.76,1.39,1.4,1.33,2.47,1.59,2.15,1.32,1.765,8.67,16.588,25.386,1.047401,2.728,1.724,0.205,2.75,4.128,51,5,2,3,0,0,6.3,9.99,5,5,2.14,2.05,1.82,0.383,24,0.207,904,1908,2.997,121.76,6697,134.8235597,15.96375273,149.214348,3.111843494,26.95626894,19.2399046,5.049643144,0.370579178,1.297342223,0,0.445605214,0.185623089,0,0,0,0,0,0,0,0.186,0.371
Te,52,4.4572,4.4572,5.929,1.4,1.23,0.51,0.97,1.38,1.36,1.28,1.99,1.6,1.82,1.24,1.67,9.04,18.668,28.059,1.970875,2.046,1.088,0.182,2.23,3.142,52,6,2,4,0,0,6.95,10.81,5,6,2.38,2.1,2.01,0.23,3,0.201,723,1263,3.394,127.76,6240,179.8319107,17.26178429,16.40859088,33.13750091,28.86686386,0.295801502,5.572902675,4.100085968,1.608383573,0,0.06197003,0.226594109,0,0,0,0,0,0,0,0.062,0.227
I,53,7.1802,4.7102,9.8103,1.4,1.15,0.46,0.95,1.39,1.33,1.29,2.04,1.39,1.69,1.17,1.585,10.487,19.198,33.114,3.0590465,1.111,0.433,0.081,1.11,1.519,53,7,2,5,0,0,7.6,11.61,5,7,2.76,2.66,2.21,0.03,0.449,0.429,387,457.5,4.263,126.904,4940,116.1815028,175.075724,164.6038677,35.24336792,30.831114,22.60070385,6.121312938,4.572524195,1.93817993,0,0.596366286,0.267904129,0,0,0,0,0,0,0,0.268,0.596
Xe,54,6.2023,6.2023,6.2023,,1.08,0.4,,1.4,1.31,1.35,2.06,1.1,1.54,1.1,1.56,12.172,21.278,32.209,-0.83,,0.132,0.024,0.16,,54,8,2,6,0,0,8.25,12.42,5,8,0.05,2.6,,0.02,0.00569,0.15832,161,166.1,6.401,131.293,5.9,120.8787887,183.327583,172.5996658,37.41547268,3.289443579,24.38445171,6.678350406,5.064218431,2.28666717,0,0.672086323,0.309835149,0,0,0,0,0,0,0,0.31,0.672
Cs,55,6.141,6.141,6.141,2.6,2.98,1.65,1.67,2.44,2.32,2.09,3.48,2.731,5.45,1.55,4.31,3.907,23.182,35.121,0.47163,0.791,0.692,0.022,0.8,0.859,55,1,1,0,0,0,2.2,6.36,6,1,0.77,0.79,0.86,0.02,36,0.242,302,951.6,11.579,132.905,1879,13.35639741,191.9819652,18.1313527,39.85161033,35.16643988,2.644053269,7.455970299,5.769328769,2.848387367,0,0.921390443,0.504903242,0,0,0.078699038,0,0,0,0,0.079,0.505
Ba,56,5.028,5.028,5.028,2.15,2.53,1.26,1.35,2.15,1.96,1.61,3.03,2.243,3.35,1.44,3.402,5.23,10.036,36.878,0.14462,1.872,1.569,0.083,1.9,1.925,56,2,2,0,0,0,2.85,7.58,6,2,1.08,0.89,0.97,0.103,18,0.205,998,1910,6.299,137.327,3510,1305.743885,200.8445404,18.9656921,4.921542362,3.840959844,28.52894669,8.257064971,6.497625119,0.347613767,0,1.157159555,0.698605335,0,0,0.118967057,0,0,0,0,0.119,0.348
La,57,3.772,3.772,12.144,1.95,2.47,1.06,1.032,2.07,1.8,1.39,2.98,1.877,2.42,1.34,3.08,5.596,11.097,19.25,0.47163,4.482,4.182,0.066,4.47,4.927,57,3,2,0,1,0,2.85,9.31,6,3,1.35,1.1,1.08,0.243,13,0.195,1193,3730,3.741,138.906,6146,138.8225126,22.63792087,20.48525319,44.85669153,39.89585715,30.6267107,9.00054732,7.168124161,0.401210193,0,1.324936637,0.824498396,0.141085068,0,0.132233063,0,0,0,0,0.132,0.141
Ce,58,3.62,3.62,5.99,1.85,2.47,1.05,1.1,2.04,1.63,1.37,2.88,1.715,2.4,1.23,4.5,5.489,10.889,20.176,0.65,4.399,4.139,0.057,4.32,5.934,58,3,2,0,1,1,2.85,10.8,6,3,1.1,1.12,1.06,0.239,11,0.192,1071,3699,3.478,140.116,6689,140.6763515,22.12485262,206.9252473,47.03530558,4.498284159,32.41258457,1.008744484,7.532199615,0.448548215,0.337442162,1.370160658,0.850110408,0.140550075,0,0.133974064,0,0,0,0,0.134,0.141
Pr,59,3.6725,3.6725,11.8354,1.85,2.47,1.04,0.99,2.03,1.76,1.38,2.92,1.828,2.39,1.2,4.48,5.439,10.587,21.736,0.962,3.698,3.713,0.072,3.7,4.777,59,3,2,0,0,3,2.85,7.75,6,3,1.1,1.13,1.07,0.306,13,0.193,1204,3785,3.456,140.908,6640,146.9381645,227.4264722,28.21832654,4.932996368,4.381162103,3.400397632,0.967030464,7.615883656,4.154229994,0.155138074,1.296106622,0.778046373,0,0,0.12446506,0,0,0,0,0.124,0.155
Nd,60,3.658,3.658,11.799,1.85,2.06,1.03,0.983,2.01,1.74,1.37,2.95,1.821,2.37,1.17,3.99,5.509,10.754,22.131,1.916,3.407,3.411,0.074,3.4,4.765,60,3,2,0,0,4,2.85,9.31,6,3,1.2,1.14,1.07,0.327,17,0.19,1294,3341,3.418,144.24,7010,1509.699685,236.6141536,224.3519237,51.16128756,4.609102213,35.75453216,10.0008958,7.967823825,0.445827286,0.179544086,1.334938241,0.798503383,0,0,0.134760065,0,0,0,0,0.135,0.18
Pm,61,3.654,3.654,3.654,1.85,2.05,1.02,0.97,1.99,1.73,1.35,2.9,1.81,2.35,1.13,3.99,5.569,10.941,22.256,0.129,3.12,2.6,0.08,3,4.747,61,3,2,0,0,5,2.85,9.4,6,3,1.15,1.15,1.07,0.35,15,0.19,1441,3000,3.36,144.91,7264,158.9803603,245.9719988,233.4558921,53.42933665,4.865242335,37.62555006,0.126763261,0.088150042,4.599002208,0.200164496,1.372265659,0.817702393,0,0,0.127053061,0,0,0,0,0.088,0.127
Sm,62,3.621,3.621,26.25,1.85,2.38,1.01,0.958,1.98,1.72,1.34,2.87,1.802,2.33,1.11,4.14,5.649,11.107,23.764,0.162,2.15,1.714,0.088,2.14,4.716,62,3,2,0,0,6,2.85,8.01,6,3,1.2,1.17,1.07,0.294,13,0.196,1345,2064,3.318,150.36,7353,1617.184796,255.4989687,242.7298426,55.73115975,50.08428411,0.403856914,1.484667713,8.672690964,4.814980311,0.030560015,1.408552677,0.087187042,0,0,0.128259062,0,0,0,0,0.031,0.087
Eu,63,4.581,4.581,4.581,1.85,2.31,1.01,1.17,1.98,1.68,1.34,2.83,1.799,2.29,1.1,3.94,5.69,11.294,25.22,0.864,1.823,1.83,0.097,1.86,10.27,63,3,2,0,0,7,2.85,8.11,6,3,1.15,1.15,1.01,0.147,14,0.182,1095,1870,4.813,151.964,5244,174.7094059,265.1996613,252.176818,58.06815587,5.481989631,41.47203591,1.907747916,9.025459332,5.032422416,0.232774912,1.444087693,0.860550414,0,0,0.129426782,0,0,0,0,0.129,0.233
Gd,64,3.636,3.636,5.7826,1.8,2.33,1,0.938,1.96,1.69,1.35,2.79,1.802,2.22,1.09,3.91,6.161,12.334,20.79,0.137,4.134,3.13,0.104,4.14,14.083,64,3,2,0,1,7,2.85,8.22,6,3,1.1,1.2,1.11,0.383,11,0.24,1585,3539,3.31,157.25,7901,1728.62603,275.3632658,2.622417259,60.76443717,54.83703832,4.442558132,11.98649183,9.669871362,5.532512656,0.491280236,1.608477772,0.97879519,0.127220062,0,0.143654069,0,0,0,0,0.127,0.144
Tb,65,3.601,3.601,5.6936,1.75,2.25,0.99,0.923,1.94,1.68,1.35,2.87,1.782,2.2,1.08,3.89,5.87,11.565,22.069,1.165,4.042,4.066,0.112,4.05,4.578,65,3,2,0,0,9,2.85,8.3,6,3,1.2,1.2,1.1,0.399,11,0.182,1633,3396,3.213,158.925,8219,1785.332799,285.1211517,271.5907154,6.691566212,5.680190734,45.44409181,12.12049182,9.735641674,5.467664696,0.256311123,1.513678727,0.887284426,0,0,0.131677063,0,0,0,0,0.132,0.256
Dy,66,3.593,3.593,5.6537,1.75,2.28,0.98,1.7,1.92,1.67,1.33,2.81,1.773,2.18,1.07,3.67,5.951,11.71,23.192,0.352,3.02,3.047,0.115,3.04,4.6,66,3,2,0,0,10,2.85,8.34,6,3,1.15,1.22,1.1,0.384,11,0.167,1680,2835,3.152,162.5,8551,1843.23047,295.3429978,28.83854485,65.29947334,59.09195936,47.48942279,1.319257033,1.014891494,5.686354729,0.266227328,1.547977744,0.903494034,0,0,0.132769064,0,0,0,0,0.133,0.266
Ho,67,3.5773,3.5773,5.6158,1.75,2.26,0.97,0.91,1.92,1.66,1.33,2.83,1.766,2.19,1.04,3.65,6.04,11.846,23.098,0.338,3.128,3.151,0.177,3.14,4.578,67,3,2,0,0,11,2.85,8.44,6,3,1.2,1.23,1.1,0.397,16,0.165,1743,2968,3.112,164.93,8795,1902.053433,305.7491068,29.62100822,67.78552454,6.212306989,49.56601979,12.98602623,0.159303076,5.906512835,0.272677132,1.582088759,0.920394042,0,0,0.133845064,0,0,0,0,0.134,0.159
Er,68,3.5588,3.5588,5.5874,1.75,2.26,0.96,0.89,1.89,1.65,1.33,2.79,1.757,2.15,1.02,3.63,6.121,11.97,22.953,0.312,3.298,2.912,0.207,3.29,4.567,68,3,2,0,0,12,2.85,8.48,6,3,1.2,1.24,1.11,0.411,15,0.168,1795,3136,3.064,167.259,9066,1961.800118,35.51064805,3.059871469,7.036599378,63.81954063,51.68217417,1.349147655,0.149174072,6.127445941,0.278577134,1.616073776,0.935202449,0,0,0.134905065,0,0,0,0,0.135,0.149
Tm,69,3.5375,3.5375,5.5546,1.75,2.22,0.95,1.3,1.9,1.64,1.31,2.8,1.746,2.03,1.01,3.6,6.202,12.095,23.972,1.029,2.415,2.569,0.175,2.42,4.478,69,3,2,0,0,13,2.85,8.58,6,3,1.2,1.25,1.11,0.4,17,0.16,1818,2220,3.01,168.934,9321,2022.472579,327.057277,3.639681819,0.810330389,66.23936979,53.83552056,13.86567346,1.827151877,0.641310315,0.283127336,1.649990792,0.950755656,0,0,0.142733669,0,0,0,0,0.143,0.283
Yb,70,5.4847,5.4847,5.4847,1.75,2.22,0.94,1.2,1.87,1.7,1.29,2.74,1.74,1.99,1,3.59,6.275,12.21,25.043,-0.02,1.584,1.654,0.08,1.6,1.529,70,3,2,0,0,14,2.85,8.59,6,3,1.1,1.1,1.06,0.133,34.9,0.154,1097,1466,4.128,173.04,6570,24.8694013,337.9791382,33.01823485,75.47666623,6.922658683,56.0263419,14.31208287,11.55825227,6.575713876,0.286408209,1.683886808,0.966137464,0,0,0.136990866,0,0,0,0,0.137,0.286
Lu,71,3.5031,3.5031,5.5509,1.75,2.17,0.93,0.861,1.87,1.62,1.31,2.63,1.734,1.94,0.99,3.37,5.444,13.946,21.362,0.346,4.447,4.451,0.229,4.43,4.52,71,3,2,0,1,14,3,8.8,6,3,1.2,1.27,1.14,0.411,16,0.154,1929,3668,2.95,174.967,9841,274.8854829,349.3906597,334.3312605,78.46243566,71.53881334,58.59306412,1.511374325,12.25090988,7.113368134,0.568096273,0.195800101,0.175991084,0.10368677,0,0.155112074,0,0,0,0,0.104,0.155
Hf,72,3.1964,3.1964,5.0511,1.55,2.08,0.8,0.71,1.75,1.52,1.28,2.53,1.58,1.88,0.97,2.91,7.024,14.955,23.379,0.017,6.44,5.935,0.265,6.44,9.954,72,4,2,0,2,0,3.15,9.16,6,4,1.73,1.3,1.23,1.09,23,0.144,2495,5470,2.241,178.49,13310,2210.653051,361.0067057,345.6871889,81.52285114,74.45355646,61.23147239,15.88363262,12.97121723,7.676641685,0.872060426,2.059080988,1.246540598,0.143805429,0,0.172900083,0,0,0,0,0.144,0.173
Ta,73,3.3013,3.3013,3.3013,1.45,2,0.77,0.72,1.7,1.46,1.26,2.57,1.467,1.7,0.95,2.79,7.918,16.255,22.079,0.323,8.133,7.885,0.374,8.1,11.856,73,5,2,0,3,0,3.3,9.53,6,5,1.94,1.5,1.33,2,57,0.14,3273,5698,1.801,180.948,16650,2275.372506,372.828903,35.73247715,8.468071065,77.44097918,63.94255169,1.742170836,13.71981659,8.265859168,1.199347576,2.223808067,1.376530661,0.182464088,0,0.175696084,0,0,0,0,0.176,0.182
W,74,3.1652,3.1652,3.1652,1.35,1.93,0.75,0.66,1.62,1.37,1.2,2.49,1.408,1.5,0.92,2.735,8.008,17.763,24.086,0.81626,8.834,8.572,0.364,8.9,12.96,74,6,2,0,4,0,4.35,9.85,6,6,1.79,2.36,1.4,3.232,174,0.132,3683,5930,1.586,183.84,19250,23.41329824,3.904158874,369.0141501,87.86783418,8.055705939,66.72481939,17.57080543,14.49510968,8.879697262,1.550835744,0.243218117,1.504457722,0.220603106,0,0.181413087,0,0,0,0,0.181,0.221
Re,75,2.761,2.761,4.456,1.35,1.88,0.72,0.63,1.51,1.31,1.19,2.48,1.375,1.36,0.83,2.68,7.907,16.661,26.094,0.060396,8.007,7.324,0.343,8.03,12.444,75,7,2,0,5,0,3.6,10.12,6,7,2.06,1.9,1.46,3.72,48,0.137,3453,5900,1.47,186.207,21020,240.8261556,397.0879246,380.9830519,91.14923682,8.754582202,6.965275344,18.45433386,1.536358809,9.524164572,1.925440924,2.567385232,1.631227783,0.258639124,0,0.18685909,0,0,0,0,0.187,0.259
Os,76,2.7344,2.7344,4.3173,1.3,1.85,0.69,0.63,1.44,1.29,1.16,2.41,1.353,1.31,0.81,2.65,8.73,16.962,25.095,1.1,8.226,7.676,0.322,8.17,11.22,76,8,2,0,6,0,3.75,10.32,6,8,1.85,2.2,1.52,4.18,88,0.13,3318,5300,1.391,190.23,22590,24.79062891,409.5225926,39.34609889,10.26132893,86.83709408,7.257986556,19.36253629,16.11967874,10.17608689,2.321176474,2.738294674,1.757404844,0.296791142,0,0.191489452,0,0,0,0,0.191,0.297
Ir,77,3.839,3.839,3.839,1.35,1.8,0.81,0.68,1.41,1.22,1.15,2.29,1.357,1.24,0.79,2.628,9.131,17.066,27.102,1.56436,6.919,6.366,0.27,6.94,8.864,77,9,2,0,7,0,3.9,10.57,6,9,1.87,2.2,1.55,3.55,150,0.131,2683,4403,1.414,192.217,22560,2543.762563,47.75944764,405.5270294,97.923209,90.10847025,75.48506324,20.29430334,16.96674886,1.496890791,2.738511315,2.909175396,1.891890908,0.335189161,0,0.195511094,0,0,0,0,0.196,0.335
Pt,78,3.9242,3.9242,3.9242,1.35,1.77,0.9,0.8,1.36,1.23,1.12,2.32,1.387,3.24,1.26,2.7,9.031,18.626,29.11,2.1251,5.879,4.878,0.208,5.84,6.057,78,10,1,0,9,0,4.05,10.75,6,10,1.91,2.28,1.44,2.783,72,0.133,2045,4100,1.511,195.078,21090,2613.097786,434.8582117,43.56055091,101.2749176,93.31192479,78.40030863,2.390679148,1.785297864,2.06196099,3.038149458,2.950941488,1.884256904,0.273724131,0,0.161344077,0,0,0,0,0.161,0.274
Au,79,4.0782,4.0782,4.0782,1.35,1.74,1.11,1.37,1.36,1.24,1.21,2.45,1.442,2.92,1.3,2.66,9.257,20.519,30.108,2.30861,3.807,3.568,0.13,3.81,3.274,79,11,1,0,10,0,4.2,10.94,6,11,1.19,2.54,1.42,1.732,320,0.1291,1337,3080,1.697,196.966,19300,268.6283739,45.40899516,430.7259077,1.864552895,96.70704642,81.51179013,22.0783676,18.57948892,12.1318839,3.486825674,3.113937502,2.002495961,0.304900866,0,0.163216078,0,0,0,0,0.163,0.305
Hg,80,3.005,3.005,3.005,1.5,1.71,0.97,1.2,1.32,1.33,1.42,2.47,1.573,2.39,1.4,2.41,10.473,18.814,34.32,-0.52,0.638,0.615,0.024,0.67,0.304,80,12,2,0,10,0,4.35,11.15,6,12,1.49,2,1.44,0.382,8.3,0.1395,234,629.73,2.316,200.59,13534,275.5609023,461.2788614,443.8488898,14.9986572,100.3280846,84.84556873,23.22293215,19.64508303,13.01922726,4.110319973,3.423487643,2.261976086,0.452552217,0,0.205137098,0,0,0,0,0.205,0.453
Tl,81,3.4566,3.4566,5.5248,1.9,1.56,0.9,1.45,1.45,1.44,1.42,2.6,1.716,2.29,1.53,2.235,6.129,20.498,29.921,0.377,1.895,1.727,0.044,1.88,2.367,81,3,2,1,0,0,5,12.25,6,3,1.69,1.62,1.44,0.359,46,0.129,577,1730,2.841,204.383,11850,2827.570765,474.9536032,457.2562175,18.92222508,0.203296098,88.32887247,24.47433175,20.79709158,14.01360673,4.835749328,3.81151383,2.598731247,0.674544324,0,0.285560138,0.101534049,0,0,0,0.102,0.203
Pb,82,4.9508,4.9508,4.9508,1.8,1.54,0.83,1.19,1.46,1.44,1.35,2.54,1.75,2.32,1.43,2.09,7.441,15.08,32.042,0.356743,2.028,1.849,0.05,2.03,3.715,82,4,2,2,0,0,5.65,12.29,6,4,1.92,2.33,1.55,0.43,35,0.127,601,2013,3.034,207.2,11340,2901.079454,4.931337367,470.87811,11.69532561,14.35039789,91.88996811,25.75334243,21.99057528,15.03003393,5.592534684,0.462797222,2.941658412,0.902393433,0,0.357187531,0.141831068,0,0,0,0.142,0.357
Bi,83,6.674,6.117,3.304,1.6,1.43,0.77,1.3,1.48,1.51,1.41,2.8,1.7,2.25,1.38,1.997,7.314,16.744,25.646,0.942362,2.154,1.863,0.113,2.18,3.898,83,5,2,3,0,0,6.3,13.34,6,5,2.14,2.02,1.67,0.315,8,0.122,544,1883,3.538,208.98,9780,297.5615018,50.30118286,48.5403823,120.6140566,18.28513878,95.53252186,2.734342032,23.21865214,16.08482652,6.382747064,4.611936214,3.293638581,0.203408098,0,0.051729026,0.180198158,0,0,0,0.052,0.18
Po,84,3.359,3.359,3.359,1.9,1.35,0.56,0.94,1.4,1.45,1.35,2.93,1.76,2.11,1.3,1.9,8.509,19.074,27.747,1.9,1.518,1.048,0.135,1.5,,84,6,2,4,0,0,6.95,14.22,6,6,2.4,2,1.76,0.26,20,,527,1235,3.743,208.98,9196,3050.989962,517.2818783,498.7721594,124.7837483,115.9054956,99.25611564,28.42255364,24.48134875,17.17331524,7.206502459,5.028232414,3.655387355,1.386458666,0,0.493528237,0.030770015,0,0,0,0.031,0.494
At,85,,,,,1.27,0.51,,1.5,1.47,1.38,2.88,1.59,1.89,1.26,1.83,9.63,18.065,30.108,2.3,0.946,0.52,0.062,1,,85,7,2,5,0,0,7.6,15.16,6,7,2.64,2.2,1.96,0.035,1.7,,575,610,5.75,210,,3.865001855,531.818606,513.0444893,12.97154823,119.9950724,10.39637999,29.80952931,25.77827645,18.29518879,8.06348723,5.453385618,4.027063293,1.648780791,0,0.560189269,0.255453123,0,0,0,0.255,0.56
Rn,86,,,,,1.2,0.5,,1.5,1.42,1.45,2.71,1.4,1.59,1.23,1.88,10.785,20.072,30.108,-0.725,,0.188,0.031,0.2,,86,8,2,6,0,0,8.25,16.08,6,8,0.05,,,0.022,0.00361,0.09365,202,211.4,8.25,222,9.73,396.7564856,546.5782296,59.53305358,133.369208,124.1729216,13.34501241,0.342804172,2.772986338,1.946795006,0.903718434,5.889685834,4.408704116,1.911329917,0,0.064970031,0.293216141,0,0,0,0.065,0.293
Fr,87,,,,,,1.74,,2.6,2.23,2.18,2.82,2.8,6,1.61,4.37,3.9,22.079,32.115,0.486,0.757,0.572,0.021,0.75,,87,1,1,0,0,0,2.2,8,7,1,0.7,0.7,0.86,0.02,15,,300,950,13,223,,3283.265326,56.29047702,542.4145004,137.9596983,128.6145417,17.48523139,32.86102877,28.64814482,0.220462106,10.05144482,6.509519125,4.973282387,2.362711134,0,0.093048052,0.466197224,0,0,0.076176037,0.076,0.093
Ra,88,5.148,5.148,5.148,2.15,,1.34,,2.21,2.01,1.73,2.81,2.26,3.45,1.48,3.53,5.295,10.14,34.122,0.1,1.654,1.422,0.083,1.66,,88,2,2,0,0,0,1.65,9,7,2,0.9,0.9,0.97,0.132,19,0.092,973,1413,6.822,226.025,5000,336.2793914,57.71562771,55.82097399,142.6324945,1.334450641,12.34648193,34.52564458,3.077209477,22.20813566,1.821300874,7.139140499,5.547206023,2.819854354,0,0.123900059,0.637140306,0,0,0.02013201,0.02,0.124
Ac,89,5.67,5.67,5.67,1.95,2.85,1.14,,2.15,1.86,1.53,2.83,1.878,2.63,1.16,3.12,4.936,11.076,16.994,0.35,4.222,3.047,0.146,4.25,4.106,89,3,2,0,1,0,1.8,9,7,3,1.1,1.1,1,0.25,12,0.12,1323,3470,4.557,227.028,10070,344.9509556,592.6231661,57.96272782,147.3207867,137.6544601,119.5418004,36.15827736,3.684061768,23.57107851,1.233425592,7.713081702,6.065112911,0.414752199,0,1.205801299,0.744524357,0.137786066,0,0.126551061,0.127,0.138
Th,90,5.0842,5.0842,5.0842,1.8,2.51,1.11,,2.06,1.75,1.43,3.05,1.798,2.24,1.1,4.98,5.639,11.939,18.72,1.17,6.222,5.342,0.166,6.2,7.411,90,3,2,0,2,0,1.95,9,7,3,1.3,1.3,1.11,0.543,54,0.118,2020,5060,3.295,232.038,11724,3524.44078,608.35125,588.2183943,152.084701,142.2558783,12.46309318,37.81416615,3.373253619,24.95519599,13.39744115,8.287061338,6.58281316,3.62573074,0,1.333771441,0.846921407,0.172896083,0,0.141920068,0.142,0.173
Pa,91,3.925,3.925,3.238,1.8,2.33,1.08,,2,1.69,1.38,3.4,1.63,1.89,1.06,4.96,5.353,11.502,17.815,0.55,6.313,5.002,0.156,6.7,9.517,91,3,2,0,1,2,1.8,9,7,3,1.5,1.5,1.14,0.76,47,0.0991,2113,4300,2.503,231.036,15370,3606.33536,623.8707305,60.59030708,16.06675331,15.44568541,127.7813013,39.06476875,34.48294655,25.93313345,14.10575377,8.463467063,6.709833221,3.659929757,0.036013017,1.287233338,0.799756384,0.143480069,0,0.129653062,0.036,0.13
U,92,2.8537,5.8695,4.9548,1.75,2.21,1.05,,1.96,1.7,1.34,3.05,1.56,1.74,1.01,4.72,5.433,11.669,18.148,0.53,5.57,4.338,0.146,5.55,11.294,92,3,2,0,1,3,1.8,9,7,3,1.7,1.38,1.22,0.987,27.6,0.116,1406,4018,2.073,238.029,19050,3689.356912,639.7790351,619.1088472,161.1181507,150.9799525,13.19901834,40.52810345,35.85333821,2.788401338,15.02747441,8.824192236,7.018095369,3.866176856,0.366543176,1.325976637,0.831160471,0.143190069,0,0.130948063,0.131,0.143
Np,93,6.663,4.723,4.887,1.75,,1.04,,1.9,1.71,1.36,2.7,1.555,1.63,1,4.93,5.512,11.846,18.429,0.48,4.753,3.501,0.104,4.2,12.896,,3,2,0,1,4,1.8,9,7,3,1.3,1.36,1.22,0.68,6,,913,4175,1.922,237.048,20450,,,,,,,,,,,,,,,,,,,,,
Pu,94,6.183,4.822,10.963,1.75,,1.03,,1.87,1.72,1.35,,1.58,1.6,1,4.91,5.13,11.232,20.769,-0.5,3.619,3.572,,3.6,14.321,,3,2,0,0,6,1.65,9,7,3,1.3,1.28,1.22,0.54,6,,914,3505,2,244,19816,,,,,,,,,,,,,,,,,,,,,
Am,95,3.4681,3.4681,11.241,1.75,,1.02,,1.8,1.66,1.35,,1.81,1.62,1,4.89,5.674,12.189,18.886,0.1,2.766,2.48,,2.73,,,3,2,0,0,7,4.65,9,7,3,1.3,1.3,1.2,,10,,1267,2880,2.927,243,13670,,,,,,,,,,,,,,,,,,,,,
Cm,96,3.496,3.496,11.331,,,1.01,,1.69,1.66,1.36,,1.81,1.9,0.96,4.87,5.687,12.407,19.022,0.28,3.973,3.741,,3.86,,,3,3,0,0,7,1.8,9,7,3,1.3,1.3,1.2,,10,,600,1440,2.998,247,13510,,,,,,,,,,,,,,,,,,,,,
Bk,97,3.416,3.416,11.069,,,1,,,1.68,1.39,,1.81,1.69,1.04,5,5.512,12.615,19.334,-1.72,3.026,3.744,,3.9,,,3,2,0,0,9,1.65,9,7,3,1.3,1.3,1.2,,10,,1323,3000,2.818,247,14780,,,,,,,,,,,,,,,,,,,,,
Cf,98,3.38,3.38,11.025,,,0.99,,,1.68,1.4,,1.81,1.74,1.03,5.02,5.428,11.866,22.391,-1.01,1.82,3.744,,3.9,,,3,2,0,0,10,1.65,9,7,3,1.3,1.3,1.2,,10,,1173,2800,2.727,251,15100,,,,,,,,,,,,,,,,,,,,,
Es,99,,,,,,0.98,,,1.65,1.4,,1.81,1.68,1.02,5.04,5.498,12.022,23.431,-0.3,1.56,3.744,,3.9,,,3,2,0,0,11,1.65,9,7,3,1.3,1.3,1.2,,10,,1133,2750,2.8,252,,,,,,,,,,,,,,,,,,,,,,
Fm,100,,,,,,0.97,,,1.67,1.4,,1.81,1.7,1.02,5.06,5.57,12.178,24.44,0.35,1.466,3.744,,3.9,,,3,2,0,0,12,1.65,9,7,3,1.3,1.3,1.2,,10,,1800,3800,2.8,257,,,,,,,,,,,,,,,,,,,,,,
