Xp,delta_Xr,K,delta_G,epilson,delta,Delta,y
1.766666667,0.035111532,167.1666667,0.17181497,0.4377648,0.046118347,0.013946733,2991
1.753326663,0.040779521,162.566033,0.237690162,0.600133636,0.045949902,0.056745313,3783
1.74,0.045280674,157.97,0.290892237,0.747059948,0.050201287,0.081612599,5252
1.744897959,0.06038191,152.3428571,0.362595768,1.037794147,0.059061978,0.119664429,4475
1.746153846,0.060108378,152.7384615,0.35920411,1.026741754,0.058278651,0.118552822,4561
1.741666667,0.061148323,150.4833333,0.38320919,0.975239181,0.052164345,0.110282819,5191
1.754545455,0.062212126,146.0272727,0.411907263,0.966591395,0.061146198,0.114806914,3845
1.718181818,0.070443098,135.9818182,0.480468883,1.131164349,0.03977639,0.132193224,5089
1.7,0.07264374,130.9166667,0.514688094,1.208368099,0.045601455,0.138620989,5885
1.738095238,0.043852364,158.7079365,0.243547547,0.561463263,0.003634045,0.054223277,3611
1.744444444,0.068805335,147.3111111,0.433066566,1.171184914,0.070719795,0.129578692,4179
1.756716418,0.071430581,155.7910448,0.365091788,0.687832844,0.040986,0.087743245,4973
1.752173913,0.072852138,155.8550725,0.367764735,0.68041316,0.040348079,0.087594958,4988
1.747887324,0.07406411,155.915493,0.370088311,0.672702101,0.039569659,0.087378219,5162
1.743835616,0.075098006,155.9726027,0.372100027,0.664779016,0.038686894,0.087104675,5199
1.74,0.075979425,156.0266667,0.373832578,0.656709478,0.037730456,0.086783989,5093
1.711193242,0.053201205,149.6104189,0.300396686,0.768390376,0.049655942,0.093990705,4125
1.666666667,0.044978181,143.6111111,0.299512648,0.642782826,0.017337424,0.080535323,3307
1.67,0.086459004,135.34,0.432479139,1.174953739,0.055966735,0.140321934,4258
1.736363636,0.080702017,149.7909091,0.36741633,1.218402155,0.051621978,0.142261431,5548
1.718181818,0.08089768,146.9454545,0.390445601,1.315424949,0.059834668,0.148225751,6020
1.7,0.092373853,143.7333333,0.400786402,1.460911465,0.055711492,0.159826919,5404
1.707,0.048955243,144.251,0.373587695,0.908901324,0.023452344,0.110799767,5097
1.741176471,0.067057806,152.9647059,0.377880487,1.087652587,0.06211614,0.12514933,5248
1.734615385,0.063902469,151.0769231,0.381414094,1.053213148,0.061667721,0.121925435,4774
1.720689655,0.068955414,151.7931034,0.394348235,0.979601113,0.05894133,0.116837897,5438
1.716666667,0.070072806,152,0.397490107,0.956762571,0.057423113,0.115243134,5676
1.455555556,0.062017155,114.4666667,0.22729026,0.674353993,0.024589786,0.051890355,2197
1.547058824,0.061536923,153.3647059,0.262569446,0.468958052,0.031620012,0.078010372,3514
1.544444444,0.063420065,149.0222222,0.283129315,0.454462686,0.031376554,0.075178535,2490
1.54,0.065437045,141.64,0.313766308,0.428079139,0.030229245,0.070207235,2483
1.52,0.032914986,147.74,0.561213215,0.958485292,0.020884377,0.078684178,3579
1.511111111,0.033582908,145.2333333,0.553726993,1.038541088,0.019360238,0.078653869,2944
1.527272727,0.032190643,149.7909091,0.565042621,0.888923304,0.020697218,0.078447358,2900
1.522222222,0.030556184,152.1111111,0.570405301,1.036450757,0.013666211,0.079254636,3033
1.518181818,0.03409141,144.1636364,0.551492068,0.890325052,0.025731073,0.077784247,2785
1.533333333,0.032738025,154.1777778,0.5478913,0.883909715,0.022097378,0.077620991,3045
1.509090909,0.032777863,142.4727273,0.569857514,0.992587143,0.019229293,0.077379141,2899
1.544444444,0.033582908,152.0444444,0.586833645,0.955936801,0.022908363,0.091055339,3366
1.5,0.032190643,144.2181818,0.538648152,0.944323052,0.018580553,0.068992135,2811
1.5125,0.034039993,138.4,0.546344107,0.829787304,0.026650975,0.077273343,2715
1.545454545,0.032589213,158.0545455,0.564654177,1.037809501,0.018029488,0.089158942,3214
1.476190476,0.03770822,140.7809524,0.391740168,0.669522122,0.02267843,0.062610396,2692
1.490909091,0.037180342,146.2545455,0.452427062,0.73724068,0.022248707,0.069096841,3510
1.504347826,0.036661908,151.2521739,0.484855891,0.791804308,0.021551372,0.074718909,3614
1.45,0.032496154,119.375,0.188379085,0.591701109,0.025381263,0.044838962,1136
1.5,0.035971451,152.94,0.478973975,0.955167206,0.020955523,0.080974329,4110
1.45,0.05983908,117.8375,0.177139661,1.12940749,0.02595131,0.066636942,2154
1.485714286,0.06284104,127.9428571,0.173393345,1.16557939,0.021574598,0.086140298,1975
1.475,0.034039993,130.7375,0.513228856,0.878905479,0.023060063,0.061995631,2532
1.4375,0.037519397,122.625,0.23953484,0.60976984,0.025563305,0.047027416,1143
1.516666667,0.036154952,155.8333333,0.502599275,0.835582901,0.020698139,0.079589198,3728
1.55,0.058703519,158.25,0.236744756,0.484662768,0.031615023,0.081121088,2162
1.575,0.034105752,157.425,0.61625164,0.922020519,0.023867833,0.106815779,4095
1.576470588,0.046957758,157.4588235,0.608731255,1.031774589,0.024141821,0.117739636,4739
1.577777778,0.05463724,157.4888889,0.601219997,1.112092338,0.024592286,0.126668398,4365
1.578947368,0.059764735,157.5157895,0.59377417,1.170204798,0.024770453,0.134038925,4566
1.58,0.063349314,157.54,0.586433012,1.211405315,0.024624584,0.140161531,4831
1.46,0.038242396,134.76,0.259342454,0.585713977,0.022795785,0.055136085,2121
1.616666667,0.052732043,200.8666667,0.570858121,0.501546535,0.022626457,0.064465729,3545
1.544186047,0.068264196,140.6651163,0.468154638,1.237535473,0.029437052,0.139473929,3268
1.555555556,0.066744593,146.0222222,0.53278699,1.232211194,0.028256374,0.140169325,3853
1.565957447,0.065322149,150.9234043,0.565491897,1.225142089,0.026849274,0.140410797,4602
1.59245283,0.061545062,163.4075472,0.59088456,1.194311038,0.022465766,0.139399373,3852
1.509090909,0.055088295,126.030303,0.11993267,0.888184374,0.031211475,0.100924623,1840
1.517647059,0.054347172,130.0058824,0.357492384,0.916894637,0.03105179,0.104203017,2043
1.533333333,0.052948907,137.2944444,0.510814564,0.964001759,0.030094638,0.10950993,3273
1.547368421,0.051651662,143.8157895,0.570620496,0.999475288,0.028593306,0.113513489,3212
1.56,0.05044405,149.685,0.596349439,1.02545562,0.026872118,0.116528218,3637
1.576744186,0.048779846,157.4651163,0.607226178,1.049927865,0.024242086,0.119668647,3670
1.591304348,0.047268622,164.2304348,0.603313897,1.060853883,0.021770196,0.121597264,4135
1.6,0.046335161,168.2708333,0.59695626,1.062422674,0.020255581,0.12238531,4030
1.525,0.070751668,131.625,0.122410495,1.24169845,0.030262486,0.137200445,2696
1.625,0.059879899,196.45,0.49096826,0.558530279,0.020240617,0.083422691,3856
1.6,0.061054139,208.9,0.621440001,0.580115837,0.019177817,0.077702585,3264
1.58,0.055715701,188.8,0.633679987,0.516902996,0.026102018,0.068904186,2931
1.636363636,0.070767312,213.9636364,0.508724601,0.534004759,0.02038234,0.089410387,5120
1.633333333,0.077849667,209.4666667,0.48191818,0.532964341,0.026606271,0.101473426,5443
1.483333333,0.062916392,138.6333333,0.238824908,1.11218705,0.026594524,0.09303335,4398
1.55,0.084989353,132.74,0.53854344,0.502934104,0.033232402,0.103504508,3158
1.525,0.064180504,137.55,0.353452566,0.124183153,0.025238913,0.01666065,3660
1.6,0.030155404,184.05,0.495616164,0.265739903,0.024686078,0.035003876,3055
1.575,0.045769114,196.5,0.62594173,0.268108836,0.023426322,0.030406464,2747
1.475,0.037284851,146,0.227827177,0.390785714,0.02568778,0.04620723,1418
1.55,0.089603365,158.75,0.452516265,0.466569604,0.04139412,0.113927199,3800
1.6,0.076891906,181.475,0.368998728,0.442014269,0.0340233,0.108936294,5072
1.6,0.065762615,153.775,0.667862674,0.286795191,0.026064582,0.032554593,3997
1.4625,0.038448554,122.55,0.236268633,0.60134837,0.033106014,0.061197494,1869
1.55,0.07171863,127.975,0.210248593,0.437247044,0.032939315,0.075227543,2603
1.555555556,0.079558783,131.5333333,0.530651825,0.512515378,0.035188647,0.097742158,3497
